,Year,Channel,Arm,Values,Seed,Scenario
135,2021.5961538461468,Incident Cases,Control,708,0,Baseline
136,2021.6153846153775,Incident Cases,Control,709,0,Baseline
137,2021.6346153846082,Incident Cases,Control,712,0,Baseline
138,2021.653846153839,Incident Cases,Control,714,0,Baseline
139,2021.6730769230696,Incident Cases,Control,717,0,Baseline
140,2021.6923076923003,Incident Cases,Control,720,0,Baseline
141,2021.711538461531,Incident Cases,Control,721,0,Baseline
142,2021.7307692307618,Incident Cases,Control,722,0,Baseline
143,2021.7499999999925,Incident Cases,Control,723,0,Baseline
144,2021.7692307692232,Incident Cases,Control,723,0,Baseline
145,2021.788461538454,Incident Cases,Control,724,0,Baseline
146,2021.8076923076846,Incident Cases,Control,725,0,Baseline
147,2021.8269230769154,Incident Cases,Control,725,0,Baseline
148,2021.846153846146,Incident Cases,Control,726,0,Baseline
149,2021.8653846153768,Incident Cases,Control,726,0,Baseline
150,2021.8846153846075,Incident Cases,Control,726,0,Baseline
151,2021.9038461538382,Incident Cases,Control,726,0,Baseline
152,2021.923076923069,Incident Cases,Control,726,0,Baseline
153,2021.9423076922997,Incident Cases,Control,727,0,Baseline
154,2021.9615384615304,Incident Cases,Control,727,0,Baseline
155,2021.980769230761,Incident Cases,Control,727,0,Baseline
156,2021.9999999999918,Incident Cases,Control,727,0,Baseline
157,2022.0192307692225,Incident Cases,Control,727,0,Baseline
158,2022.0384615384532,Incident Cases,Control,728,0,Baseline
159,2022.057692307684,Incident Cases,Control,728,0,Baseline
160,2022.0769230769147,Incident Cases,Control,728,0,Baseline
161,2022.0961538461454,Incident Cases,Control,729,0,Baseline
162,2022.1153846153761,Incident Cases,Control,729,0,Baseline
163,2022.1346153846068,Incident Cases,Control,730,0,Baseline
164,2022.1538461538375,Incident Cases,Control,730,0,Baseline
165,2022.1730769230683,Incident Cases,Control,730,0,Baseline
166,2022.192307692299,Incident Cases,Control,731,0,Baseline
167,2022.2115384615297,Incident Cases,Control,731,0,Baseline
168,2022.2307692307604,Incident Cases,Control,732,0,Baseline
169,2022.2499999999911,Incident Cases,Control,732,0,Baseline
170,2022.2692307692218,Incident Cases,Control,732,0,Baseline
171,2022.2884615384526,Incident Cases,Control,733,0,Baseline
172,2022.3076923076833,Incident Cases,Control,733,0,Baseline
173,2022.326923076914,Incident Cases,Control,734,0,Baseline
174,2022.3461538461447,Incident Cases,Control,735,0,Baseline
175,2022.3653846153754,Incident Cases,Control,735,0,Baseline
176,2022.3846153846061,Incident Cases,Control,735,0,Baseline
177,2022.4038461538369,Incident Cases,Control,735,0,Baseline
178,2022.4230769230676,Incident Cases,Control,736,0,Baseline
179,2022.4423076922983,Incident Cases,Control,736,0,Baseline
180,2022.461538461529,Incident Cases,Control,736,0,Baseline
181,2022.4807692307597,Incident Cases,Control,736,0,Baseline
182,2022.4999999999905,Incident Cases,Control,736,0,Baseline
183,2022.5192307692212,Incident Cases,Control,737,0,Baseline
184,2022.5384615384519,Incident Cases,Control,738,0,Baseline
185,2022.5576923076826,Incident Cases,Control,738,0,Baseline
186,2022.5769230769133,Incident Cases,Control,738,0,Baseline
187,2022.596153846144,Incident Cases,Control,739,0,Baseline
188,2022.6153846153748,Incident Cases,Control,740,0,Baseline
189,2022.6346153846055,Incident Cases,Control,740,0,Baseline
190,2022.6538461538362,Incident Cases,Control,741,0,Baseline
191,2022.673076923067,Incident Cases,Control,742,0,Baseline
192,2022.6923076922976,Incident Cases,Control,742,0,Baseline
193,2022.7115384615283,Incident Cases,Control,743,0,Baseline
194,2022.730769230759,Incident Cases,Control,743,0,Baseline
195,2022.7499999999898,Incident Cases,Control,743,0,Baseline
196,2022.7692307692205,Incident Cases,Control,743,0,Baseline
197,2022.7884615384512,Incident Cases,Control,744,0,Baseline
198,2022.807692307682,Incident Cases,Control,745,0,Baseline
199,2022.8269230769126,Incident Cases,Control,745,0,Baseline
200,2022.8461538461434,Incident Cases,Control,746,0,Baseline
201,2022.865384615374,Incident Cases,Control,746,0,Baseline
202,2022.8846153846048,Incident Cases,Control,746,0,Baseline
203,2022.9038461538355,Incident Cases,Control,746,0,Baseline
204,2022.9230769230662,Incident Cases,Control,747,0,Baseline
205,2022.942307692297,Incident Cases,Control,747,0,Baseline
206,2022.9615384615277,Incident Cases,Control,747,0,Baseline
207,2022.9807692307584,Incident Cases,Control,747,0,Baseline
208,2022.999999999989,Incident Cases,Control,748,0,Baseline
209,2023.0192307692198,Incident Cases,Control,748,0,Baseline
210,2023.0384615384505,Incident Cases,Control,749,0,Baseline
211,2023.0576923076812,Incident Cases,Control,750,0,Baseline
212,2023.076923076912,Incident Cases,Control,750,0,Baseline
213,2023.0961538461427,Incident Cases,Control,750,0,Baseline
214,2023.1153846153734,Incident Cases,Control,750,0,Baseline
215,2023.134615384604,Incident Cases,Control,750,0,Baseline
216,2023.1538461538348,Incident Cases,Control,750,0,Baseline
217,2023.1730769230655,Incident Cases,Control,751,0,Baseline
218,2023.1923076922963,Incident Cases,Control,751,0,Baseline
219,2023.211538461527,Incident Cases,Control,751,0,Baseline
220,2023.2307692307577,Incident Cases,Control,751,0,Baseline
221,2023.2499999999884,Incident Cases,Control,752,0,Baseline
222,2023.2692307692191,Incident Cases,Control,752,0,Baseline
223,2023.2884615384498,Incident Cases,Control,753,0,Baseline
224,2023.3076923076806,Incident Cases,Control,754,0,Baseline
225,2023.3269230769113,Incident Cases,Control,754,0,Baseline
226,2023.346153846142,Incident Cases,Control,754,0,Baseline
227,2023.3653846153727,Incident Cases,Control,754,0,Baseline
228,2023.3846153846034,Incident Cases,Control,754,0,Baseline
229,2023.4038461538341,Incident Cases,Control,754,0,Baseline
230,2023.4230769230649,Incident Cases,Control,755,0,Baseline
231,2023.4423076922956,Incident Cases,Control,755,0,Baseline
232,2023.4615384615263,Incident Cases,Control,755,0,Baseline
233,2023.480769230757,Incident Cases,Control,755,0,Baseline
234,2023.4999999999877,Incident Cases,Control,756,0,Baseline
235,2023.5192307692184,Incident Cases,Control,756,0,Baseline
236,2023.5384615384492,Incident Cases,Control,756,0,Baseline
237,2023.5576923076799,Incident Cases,Control,757,0,Baseline
238,2023.5769230769106,Incident Cases,Control,757,0,Baseline
239,2023.5961538461413,Incident Cases,Control,757,0,Baseline
240,2023.615384615372,Incident Cases,Control,757,0,Baseline
241,2023.6346153846027,Incident Cases,Control,757,0,Baseline
242,2023.6538461538335,Incident Cases,Control,757,0,Baseline
243,2023.6730769230642,Incident Cases,Control,757,0,Baseline
244,2023.692307692295,Incident Cases,Control,757,0,Baseline
245,2023.7115384615256,Incident Cases,Control,757,0,Baseline
246,2023.7307692307563,Incident Cases,Control,757,0,Baseline
247,2023.749999999987,Incident Cases,Control,758,0,Baseline
248,2023.7692307692178,Incident Cases,Control,758,0,Baseline
249,2023.7884615384485,Incident Cases,Control,758,0,Baseline
250,2023.8076923076792,Incident Cases,Control,759,0,Baseline
251,2023.82692307691,Incident Cases,Control,759,0,Baseline
252,2023.8461538461406,Incident Cases,Control,759,0,Baseline
253,2023.8653846153713,Incident Cases,Control,759,0,Baseline
254,2023.884615384602,Incident Cases,Control,759,0,Baseline
255,2023.9038461538328,Incident Cases,Control,759,0,Baseline
256,2023.9230769230635,Incident Cases,Control,759,0,Baseline
257,2023.9423076922942,Incident Cases,Control,759,0,Baseline
258,2023.961538461525,Incident Cases,Control,759,0,Baseline
259,2023.9807692307556,Incident Cases,Control,759,0,Baseline
260,2023.9999999999864,Incident Cases,Control,760,0,Baseline
261,2024.019230769217,Incident Cases,Control,760,0,Baseline
262,2024.0384615384478,Incident Cases,Control,760,0,Baseline
263,2024.0576923076785,Incident Cases,Control,760,0,Baseline
264,2024.0769230769092,Incident Cases,Control,760,0,Baseline
265,2024.09615384614,Incident Cases,Control,760,0,Baseline
266,2024.1153846153707,Incident Cases,Control,760,0,Baseline
267,2024.1346153846014,Incident Cases,Control,760,0,Baseline
268,2024.153846153832,Incident Cases,Control,760,0,Baseline
269,2024.1730769230628,Incident Cases,Control,760,0,Baseline
270,2024.1923076922935,Incident Cases,Control,760,0,Baseline
271,2024.2115384615242,Incident Cases,Control,760,0,Baseline
272,2024.230769230755,Incident Cases,Control,760,0,Baseline
273,2024.2499999999857,Incident Cases,Control,760,0,Baseline
274,2024.2692307692164,Incident Cases,Control,760,0,Baseline
275,2024.288461538447,Incident Cases,Control,760,0,Baseline
276,2024.3076923076778,Incident Cases,Control,760,0,Baseline
277,2024.3269230769085,Incident Cases,Control,760,0,Baseline
278,2024.3461538461393,Incident Cases,Control,760,0,Baseline
279,2024.36538461537,Incident Cases,Control,760,0,Baseline
280,2024.3846153846007,Incident Cases,Control,760,0,Baseline
281,2024.4038461538314,Incident Cases,Control,760,0,Baseline
282,2024.4230769230621,Incident Cases,Control,760,0,Baseline
283,2024.4423076922928,Incident Cases,Control,760,0,Baseline
284,2024.4615384615236,Incident Cases,Control,760,0,Baseline
285,2024.4807692307543,Incident Cases,Control,760,0,Baseline
286,2024.499999999985,Incident Cases,Control,760,0,Baseline
287,2024.5192307692157,Incident Cases,Control,760,0,Baseline
288,2024.5384615384464,Incident Cases,Control,760,0,Baseline
289,2024.5576923076771,Incident Cases,Control,760,0,Baseline
290,2024.5769230769079,Incident Cases,Control,760,0,Baseline
291,2024.5961538461386,Incident Cases,Control,760,0,Baseline
292,2024.6153846153693,Incident Cases,Control,760,0,Baseline
293,2024.6346153846,Incident Cases,Control,760,0,Baseline
294,2024.6538461538307,Incident Cases,Control,760,0,Baseline
295,2024.6730769230614,Incident Cases,Control,760,0,Baseline
296,2024.6923076922922,Incident Cases,Control,760,0,Baseline
297,2024.7115384615229,Incident Cases,Control,760,0,Baseline
298,2024.7307692307536,Incident Cases,Control,760,0,Baseline
299,2024.7499999999843,Incident Cases,Control,760,0,Baseline
300,2024.769230769215,Incident Cases,Control,760,0,Baseline
301,2024.7884615384457,Incident Cases,Control,760,0,Baseline
302,2024.8076923076765,Incident Cases,Control,760,0,Baseline
303,2024.8269230769072,Incident Cases,Control,760,0,Baseline
304,2024.846153846138,Incident Cases,Control,760,0,Baseline
305,2024.8653846153686,Incident Cases,Control,760,0,Baseline
306,2024.8846153845993,Incident Cases,Control,760,0,Baseline
307,2024.90384615383,Incident Cases,Control,760,0,Baseline
308,2024.9230769230608,Incident Cases,Control,760,0,Baseline
309,2024.9423076922915,Incident Cases,Control,760,0,Baseline
310,2024.9615384615222,Incident Cases,Control,760,0,Baseline
311,2024.980769230753,Incident Cases,Control,760,0,Baseline
312,2024.9999999999836,Incident Cases,Control,760,0,Baseline
313,2025.0192307692143,Incident Cases,Control,760,0,Baseline
314,2025.038461538445,Incident Cases,Control,760,0,Baseline
315,2025.0576923076758,Incident Cases,Control,760,0,Baseline
316,2025.0769230769065,Incident Cases,Control,760,0,Baseline
317,2025.0961538461372,Incident Cases,Control,760,0,Baseline
318,2025.115384615368,Incident Cases,Control,760,0,Baseline
319,2025.1346153845986,Incident Cases,Control,760,0,Baseline
320,2025.1538461538294,Incident Cases,Control,760,0,Baseline
321,2025.17307692306,Incident Cases,Control,760,0,Baseline
322,2025.1923076922908,Incident Cases,Control,760,0,Baseline
323,2025.2115384615215,Incident Cases,Control,760,0,Baseline
324,2025.2307692307522,Incident Cases,Control,760,0,Baseline
325,2025.249999999983,Incident Cases,Control,760,0,Baseline
326,2025.2692307692137,Incident Cases,Control,760,0,Baseline
327,2025.2884615384444,Incident Cases,Control,760,0,Baseline
328,2025.307692307675,Incident Cases,Control,760,0,Baseline
329,2025.3269230769058,Incident Cases,Control,760,0,Baseline
330,2025.3461538461365,Incident Cases,Control,760,0,Baseline
331,2025.3653846153672,Incident Cases,Control,760,0,Baseline
332,2025.384615384598,Incident Cases,Control,760,0,Baseline
333,2025.4038461538287,Incident Cases,Control,760,0,Baseline
334,2025.4230769230594,Incident Cases,Control,760,0,Baseline
335,2025.4423076922901,Incident Cases,Control,760,0,Baseline
336,2025.4615384615208,Incident Cases,Control,760,0,Baseline
337,2025.4807692307515,Incident Cases,Control,760,0,Baseline
338,2025.4999999999823,Incident Cases,Control,760,0,Baseline
339,2025.519230769213,Incident Cases,Control,760,0,Baseline
340,2025.5384615384437,Incident Cases,Control,761,0,Baseline
341,2025.5576923076744,Incident Cases,Control,761,0,Baseline
342,2025.5769230769051,Incident Cases,Control,761,0,Baseline
343,2025.5961538461358,Incident Cases,Control,761,0,Baseline
344,2025.6153846153666,Incident Cases,Control,761,0,Baseline
345,2025.6346153845973,Incident Cases,Control,762,0,Baseline
346,2025.653846153828,Incident Cases,Control,762,0,Baseline
347,2025.6730769230587,Incident Cases,Control,762,0,Baseline
348,2025.6923076922894,Incident Cases,Control,762,0,Baseline
349,2025.7115384615201,Incident Cases,Control,762,0,Baseline
350,2025.7307692307509,Incident Cases,Control,762,0,Baseline
351,2025.7499999999816,Incident Cases,Control,762,0,Baseline
352,2025.7692307692123,Incident Cases,Control,762,0,Baseline
353,2025.788461538443,Incident Cases,Control,762,0,Baseline
354,2025.8076923076737,Incident Cases,Control,762,0,Baseline
355,2025.8269230769044,Incident Cases,Control,762,0,Baseline
356,2025.8461538461352,Incident Cases,Control,762,0,Baseline
357,2025.8653846153659,Incident Cases,Control,762,0,Baseline
358,2025.8846153845966,Incident Cases,Control,763,0,Baseline
359,2025.9038461538273,Incident Cases,Control,763,0,Baseline
360,2025.923076923058,Incident Cases,Control,763,0,Baseline
361,2025.9423076922888,Incident Cases,Control,763,0,Baseline
362,2025.9615384615195,Incident Cases,Control,763,0,Baseline
363,2025.9807692307502,Incident Cases,Control,763,0,Baseline
364,2025.999999999981,Incident Cases,Control,763,0,Baseline
365,2026.0192307692116,Incident Cases,Control,763,0,Baseline
366,2026.0384615384423,Incident Cases,Control,764,0,Baseline
367,2026.057692307673,Incident Cases,Control,764,0,Baseline
368,2026.0769230769038,Incident Cases,Control,764,0,Baseline
369,2026.0961538461345,Incident Cases,Control,764,0,Baseline
370,2026.1153846153652,Incident Cases,Control,764,0,Baseline
371,2026.134615384596,Incident Cases,Control,765,0,Baseline
372,2026.1538461538266,Incident Cases,Control,765,0,Baseline
373,2026.1730769230574,Incident Cases,Control,765,0,Baseline
374,2026.192307692288,Incident Cases,Control,765,0,Baseline
375,2026.2115384615188,Incident Cases,Control,765,0,Baseline
376,2026.2307692307495,Incident Cases,Control,765,0,Baseline
377,2026.2499999999802,Incident Cases,Control,765,0,Baseline
378,2026.269230769211,Incident Cases,Control,765,0,Baseline
379,2026.2884615384417,Incident Cases,Control,767,0,Baseline
380,2026.3076923076724,Incident Cases,Control,767,0,Baseline
381,2026.326923076903,Incident Cases,Control,767,0,Baseline
382,2026.3461538461338,Incident Cases,Control,767,0,Baseline
383,2026.3653846153645,Incident Cases,Control,767,0,Baseline
384,2026.3846153845952,Incident Cases,Control,768,0,Baseline
385,2026.403846153826,Incident Cases,Control,769,0,Baseline
386,2026.4230769230567,Incident Cases,Control,769,0,Baseline
387,2026.4423076922874,Incident Cases,Control,769,0,Baseline
388,2026.461538461518,Incident Cases,Control,769,0,Baseline
389,2026.4807692307488,Incident Cases,Control,769,0,Baseline
390,2026.4999999999795,Incident Cases,Control,770,0,Baseline
391,2026.5192307692103,Incident Cases,Control,770,0,Baseline
392,2026.538461538441,Incident Cases,Control,772,0,Baseline
393,2026.5576923076717,Incident Cases,Control,772,0,Baseline
394,2026.5769230769024,Incident Cases,Control,772,0,Baseline
395,2026.5961538461331,Incident Cases,Control,773,0,Baseline
396,2026.6153846153638,Incident Cases,Control,773,0,Baseline
397,2026.6346153845946,Incident Cases,Control,774,0,Baseline
398,2026.6538461538253,Incident Cases,Control,774,0,Baseline
399,2026.673076923056,Incident Cases,Control,774,0,Baseline
400,2026.6923076922867,Incident Cases,Control,775,0,Baseline
401,2026.7115384615174,Incident Cases,Control,775,0,Baseline
402,2026.7307692307481,Incident Cases,Control,775,0,Baseline
403,2026.7499999999789,Incident Cases,Control,775,0,Baseline
404,2026.7692307692096,Incident Cases,Control,775,0,Baseline
405,2026.7884615384403,Incident Cases,Control,777,0,Baseline
406,2026.807692307671,Incident Cases,Control,777,0,Baseline
407,2026.8269230769017,Incident Cases,Control,777,0,Baseline
408,2026.8461538461324,Incident Cases,Control,777,0,Baseline
409,2026.8653846153632,Incident Cases,Control,777,0,Baseline
410,2026.8846153845939,Incident Cases,Control,778,0,Baseline
411,2026.9038461538246,Incident Cases,Control,778,0,Baseline
412,2026.9230769230553,Incident Cases,Control,778,0,Baseline
413,2026.942307692286,Incident Cases,Control,778,0,Baseline
414,2026.9615384615167,Incident Cases,Control,778,0,Baseline
415,2026.9807692307475,Incident Cases,Control,779,0,Baseline
416,2026.9999999999782,Incident Cases,Control,779,0,Baseline
417,2027.019230769209,Incident Cases,Control,779,0,Baseline
418,2027.0384615384396,Incident Cases,Control,780,0,Baseline
419,2027.0576923076703,Incident Cases,Control,780,0,Baseline
420,2027.076923076901,Incident Cases,Control,780,0,Baseline
421,2027.0961538461318,Incident Cases,Control,780,0,Baseline
422,2027.1153846153625,Incident Cases,Control,780,0,Baseline
423,2027.1346153845932,Incident Cases,Control,780,0,Baseline
424,2027.153846153824,Incident Cases,Control,781,0,Baseline
425,2027.1730769230546,Incident Cases,Control,781,0,Baseline
426,2027.1923076922853,Incident Cases,Control,781,0,Baseline
427,2027.211538461516,Incident Cases,Control,781,0,Baseline
428,2027.2307692307468,Incident Cases,Control,782,0,Baseline
429,2027.2499999999775,Incident Cases,Control,783,0,Baseline
430,2027.2692307692082,Incident Cases,Control,783,0,Baseline
431,2027.288461538439,Incident Cases,Control,783,0,Baseline
432,2027.3076923076696,Incident Cases,Control,783,0,Baseline
433,2027.3269230769004,Incident Cases,Control,783,0,Baseline
434,2027.346153846131,Incident Cases,Control,784,0,Baseline
435,2027.3653846153618,Incident Cases,Control,784,0,Baseline
436,2027.3846153845925,Incident Cases,Control,784,0,Baseline
437,2027.4038461538232,Incident Cases,Control,784,0,Baseline
438,2027.423076923054,Incident Cases,Control,784,0,Baseline
439,2027.4423076922847,Incident Cases,Control,785,0,Baseline
440,2027.4615384615154,Incident Cases,Control,785,0,Baseline
441,2027.480769230746,Incident Cases,Control,786,0,Baseline
442,2027.4999999999768,Incident Cases,Control,786,0,Baseline
443,2027.5192307692075,Incident Cases,Control,786,0,Baseline
444,2027.5384615384382,Incident Cases,Control,787,0,Baseline
445,2027.557692307669,Incident Cases,Control,787,0,Baseline
446,2027.5769230768997,Incident Cases,Control,787,0,Baseline
447,2027.5961538461304,Incident Cases,Control,787,0,Baseline
448,2027.615384615361,Incident Cases,Control,787,0,Baseline
449,2027.6346153845918,Incident Cases,Control,789,0,Baseline
450,2027.6538461538225,Incident Cases,Control,789,0,Baseline
451,2027.6730769230533,Incident Cases,Control,789,0,Baseline
452,2027.692307692284,Incident Cases,Control,789,0,Baseline
453,2027.7115384615147,Incident Cases,Control,789,0,Baseline
454,2027.7307692307454,Incident Cases,Control,790,0,Baseline
455,2027.7499999999761,Incident Cases,Control,790,0,Baseline
456,2027.7692307692068,Incident Cases,Control,791,0,Baseline
457,2027.7884615384376,Incident Cases,Control,791,0,Baseline
458,2027.8076923076683,Incident Cases,Control,791,0,Baseline
459,2027.826923076899,Incident Cases,Control,791,0,Baseline
460,2027.8461538461297,Incident Cases,Control,791,0,Baseline
461,2027.8653846153604,Incident Cases,Control,792,0,Baseline
462,2027.8846153845911,Incident Cases,Control,794,0,Baseline
463,2027.9038461538219,Incident Cases,Control,794,0,Baseline
464,2027.9230769230526,Incident Cases,Control,794,0,Baseline
465,2027.9423076922833,Incident Cases,Control,794,0,Baseline
466,2027.961538461514,Incident Cases,Control,794,0,Baseline
467,2027.9807692307447,Incident Cases,Control,794,0,Baseline
